pattern,n_trials,success_rate_mean,success_rate_ci,time_mean,time_ci,wpts_mean,wpts_ci,Ltotal_mean,Ltotal_ci,Lmax_mean,Lmax_ci
cluttered,5,0.783,0.217,1.303,0.137,3.40,0.48,190.38,0.20,65.11,0.08
empty,5,0.783,0.217,1.268,0.128,3.40,0.48,190.38,0.20,65.11,0.08
medium,5,0.783,0.217,1.226,0.165,4.00,0.88,195.12,2.73,66.62,0.90
narrow,5,0.670,0.294,0.991,0.115,4.75,0.94,197.61,6.73,67.49,2.21
sparse,5,0.783,0.217,1.005,0.129,5.00,0.88,195.64,3.97,66.49,0.93
