pattern,n_trials,success_rate_mean,success_rate_ci,time_mean,time_ci,wpts_mean,wpts_ci,Ltotal_mean,Ltotal_ci,Lmax_mean,Lmax_ci
cluttered,5,0.443,0.326,15.292,8.302,5.50,0.98,265.54,10.74,93.15,4.69
empty,5,0.670,0.294,14.204,6.010,6.00,0.80,297.72,18.21,105.49,3.99
medium,5,0.443,0.326,8.083,2.735,6.50,0.98,260.63,16.71,91.30,3.92
narrow,5,0.443,0.326,10.567,8.145,6.00,1.96,279.28,39.73,99.56,5.88
sparse,5,0.217,0.217,9.626,3.902,,,,,,
