pattern,n_trials,success_rate_mean,success_rate_ci,time_mean,time_ci,wpts_mean,wpts_ci,Ltotal_mean,Ltotal_ci,Lmax_mean,Lmax_ci
cluttered,30,0.825,0.122,1.863,0.169,3.69,0.24,191.31,0.84,65.33,0.24
empty,30,0.855,0.111,1.595,0.072,3.70,0.23,191.48,0.87,65.37,0.24
medium,30,0.707,0.151,1.492,0.104,4.18,0.40,194.96,3.00,66.64,1.04
narrow,30,0.618,0.163,1.210,0.130,4.63,0.52,199.71,3.61,68.29,1.29
sparse,30,0.382,0.163,1.394,0.133,4.36,0.55,195.06,2.18,66.25,0.51
