exp_type,pattern,K,trial,seed,success,time_sec,waypoints,path_len_total,path_len_max_per_drone
complexity,narrow,3,4,1238,1,1.335445,4,194.745857,66.384515
complexity,narrow,3,5,1239,0,1.155550,6,194.432271,66.306257
complexity,narrow,3,6,1240,0,0.741867,4,194.049981,66.234268
complexity,narrow,3,7,1241,1,1.807990,3,212.476641,72.557816
complexity,narrow,3,8,1242,1,1.712125,4,195.430596,66.681774
complexity,narrow,3,9,1243,1,1.332518,4,194.156579,66.648409
complexity,narrow,3,10,1244,1,0.963740,8,196.420811,67.119968
complexity,narrow,3,11,1245,1,1.202706,5,195.364011,67.128972
complexity,narrow,3,12,1246,1,1.075093,4,204.314147,69.962964
complexity,narrow,3,13,1247,0,0.797592,6,194.343582,66.221788
complexity,narrow,3,14,1248,1,1.555071,4,198.642894,67.197042
complexity,narrow,3,15,1249,1,2.030861,3,224.697430,77.576725
complexity,narrow,3,16,1250,0,0.837682,6,193.720916,66.093848
complexity,narrow,3,17,1251,1,1.019657,5,201.369250,68.454686
complexity,narrow,3,18,1252,0,0.819637,5,194.515456,66.026373
complexity,narrow,3,19,1253,1,1.035971,6,198.273156,68.375840
complexity,narrow,3,20,1254,1,1.103520,5,194.058870,66.386784
complexity,narrow,3,21,1255,1,1.444765,5,195.067259,66.698898
complexity,narrow,3,22,1256,1,1.265780,5,194.656392,66.165359
complexity,narrow,3,23,1257,0,0.535234,6,205.732055,69.195884
complexity,narrow,3,24,1258,0,0.809777,8,195.298757,67.065522
complexity,narrow,3,25,1259,0,1.454643,4,196.507108,67.404403
complexity,narrow,3,26,1260,1,1.234018,4,195.787001,66.886815
complexity,narrow,3,27,1261,0,1.082369,4,194.694862,66.642348
complexity,narrow,3,28,1262,1,2.062583,4,203.238780,69.640869
complexity,narrow,3,29,1263,0,1.039285,6,213.550818,72.982788
complexity,cluttered,3,0,1234,1,1.374145,4,190.757065,65.274723
complexity,cluttered,3,1,1235,1,1.875737,3,190.253751,65.058104
complexity,cluttered,3,2,1236,1,2.115544,3,190.430112,65.098897
complexity,cluttered,3,3,1237,1,1.775347,3,190.253010,65.063299
complexity,cluttered,3,4,1238,1,1.619310,4,190.186375,65.053825
complexity,cluttered,3,5,1239,1,1.629420,4,190.186375,65.053825
complexity,cluttered,3,6,1240,0,1.488627,4,190.670223,65.173095
complexity,cluttered,3,7,1241,0,1.624718,4,190.247475,65.060717
complexity,cluttered,3,8,1242,1,1.623524,4,190.186375,65.053825
complexity,cluttered,3,9,1243,1,1.759647,3,190.252410,65.074519
complexity,cluttered,3,10,1244,1,1.530175,4,191.089914,65.231730
complexity,cluttered,3,11,1245,1,1.767129,3,190.248370,65.063589
complexity,cluttered,3,12,1246,1,1.684592,4,190.930836,65.369886
complexity,cluttered,3,13,1247,1,1.784234,3,190.205645,65.055185
complexity,cluttered,3,14,1248,1,1.777086,3,190.233597,65.069637
complexity,cluttered,3,15,1249,1,1.602926,4,198.234072,67.967923
complexity,cluttered,3,16,1250,1,1.646468,4,190.908966,65.283316
complexity,cluttered,3,17,1251,1,1.507320,4,190.816452,65.119724
complexity,cluttered,3,18,1252,1,1.128794,5,195.705405,66.514647
complexity,cluttered,3,19,1253,1,1.669832,4,190.782433,65.409206
complexity,cluttered,3,20,1254,1,1.984651,3,190.217684,65.065067
complexity,cluttered,3,21,1255,1,1.808976,3,190.230541,65.062985
complexity,cluttered,3,22,1256,1,1.227707,5,194.040000,65.358088
complexity,cluttered,3,23,1257,1,2.347672,4,191.066748,65.274370
complexity,cluttered,3,24,1258,0,2.671844,5,191.019349,65.283382
complexity,cluttered,3,25,1259,0,2.893195,3,190.245251,65.078941
complexity,cluttered,3,26,1260,1,2.685372,4,190.186375,65.053825
complexity,cluttered,3,27,1261,1,2.732033,4,190.186375,65.053825
complexity,cluttered,3,28,1262,1,1.728474,4,196.298303,65.838034
complexity,cluttered,3,29,1263,1,2.835128,3,190.213971,65.068604
